timestamp,entityType,errorCode,errorMsg,initialComponent,initialSystem,logger,loggingComponent,loggingSystem,payloadType,sessionId,transactionId,txnState
2016-04-19T04:49:18.742Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,7be383da-6f65-469f-8a5b-41a1d4b42e3d,ESB_Response_Received
2016-04-19T04:49:18.743Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,7be383da-6f65-469f-8a5b-41a1d4b42e3d,API_Response_Sent
2016-04-19T04:49:18.747Z,,,,,,api.claims.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,7be383da-6f65-469f-8a5b-41a1d4b42e3d,uServiceCompleted
2016-04-19T04:49:18.748Z,,,,/claims/providers,API-GATEWAY,api.claims.get.providers.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,7be383da-6f65-469f-8a5b-41a1d4b42e3d,completed
2016-04-19T04:50:38.379Z,,,,/claims,API-GATEWAY,api.claims.get.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,started
2016-04-19T04:50:38.380Z,,,,,,api.claims.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,uServiceStarted
2016-04-19T04:50:38.392Z,,,,/claims/types/P0000214,API-GATEWAY,api.claims.get.types.productId.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,eadb2acd-d9fa-4989-b171-1ca1eb3d2877,started
2016-04-19T04:50:38.392Z,,,,/claims/types/P0000214,API-GATEWAY,api.claims.v2.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,eadb2acd-d9fa-4989-b171-1ca1eb3d2877,uServicev2Started
2016-04-19T04:50:38.396Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,API_Request_Received
2016-04-19T04:50:38.399Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,23cabb7e-921b-40e4-9b95-9317b0483fcc,ESB_Request_Sent
